id,rating,title,content,author,date,helpful_votes,verified_purchase
r012,3,앱이 좀 불편해요,이어폰은 좋은데 전용 앱이 자주 튕깁니다. 이퀄라이저 설정하려면 앱을 몇 번씩 재실행해야 해요.,조은우76,2026-01-25,61,true
r013,4,선물용으로 샀는데 반응 좋아요,부모님 생신 선물로 드렸는데 조작이 간단해서 잘 쓰신다고 합니다. 포장도 깔끔했어요.,신하준89,2025-02-27,78,true
r014,5,통화 품질 만족합니다,재택근무 화상회의에 매일 씁니다. 동료들이 목소리 깨끗하게 들린다고 해요.,홍도윤12,2025-03-01,95,true
r015,1,한 달 만에 한쪽이 안 켜져요,왼쪽 유닛이 갑자기 충전이 안 됩니다. AS 신청했는데 처리까지 2주 걸린다고 하네요. 실망입니다.,이하윤25,2026-04-03,112,true
r016,4,착용감 좋습니다,한쪽 5g 정도라 두 시간 넘게 껴도 부담이 없어요. 장시간 작업할 때 좋습니다.,장예준38,2025-05-05,129,true
r017,5,멀티포인트가 신세계,노트북이랑 폰에 동시에 연결됩니다. 회의 중에 전화 오면 자동으로 넘어가서 편해요.,황다은51,2025-06-07,3,true
r018,2,영상 볼 때 소리가 밀려요,유튜브는 괜찮은데 게임하면 지연이 확실히 느껴집니다. 리듬게임은 포기했어요.,문지민64,2026-07-09,20,false
r019,5,주변 소리 모드 유용해요,러닝할 때 앰비언트 모드 켜두면 차 소리가 들려서 안전합니다. 이 기능 때문에 재구매했어요.,최채원77,2025-08-11,37,true
r020,4,디자인이 깔끔해요,무광 블랙이라 지문이 잘 안 묻습니다. 케이스도 주머니에 쏙 들어가는 크기예요.,한민준90,2025-09-13,54,true
r021,3,무난하게 쓰고 있습니다,특별히 좋지도 나쁘지도 않아요. 가격 생각하면 적당한 것 같습니다.,송지우13,2026-10-15,71,true
r022,5,헬스장에서 쓰기 좋아요,웨이트할 때 땀 흘려도 미끄러지지 않습니다. 무선이라 케이블 걸릴 일도 없고요.,손주원26,2025-11-17,88,true
r023,4,충전 케이스 무게가 가벼워요,주머니에 넣어도 티가 안 납니다. 다만 너무 가벼워서 어디 뒀는지 자꾸 잊어버려요.,강수아39,2025-12-19,105,true
r024,5,노이즈 캔슬링 강도 조절 가능,앱에서 ANC 세기를 단계별로 조절할 수 있어서 상황에 맞게 씁니다. 카페에서는 중간 단계가 딱 좋아요.,서현우52,2026-01-21,122,true
r025,2,페어링이 까다로워요,처음 연결할 때 20분 걸렸습니다. 설명서가 부실해서 유튜브 보고 겨우 성공했어요.,전서준65,2025-02-23,139,true
r026,4,가격 대비 훌륭,10만원대에서 이만한 제품 찾기 어렵습니다. 20만원대 제품과 비교해도 크게 밀리지 않아요.,김시윤78,2025-03-25,13,true
r027,5,터치 조작이 정확해요,"오터치가 거의 없습니다. 두 번 탭하면 일시정지, 길게 누르면 ANC 전환이라 익숙해지면 편해요.",윤서연91,2026-04-27,30,false
r028,3,고음이 살짝 쏘는 느낌,저음은 좋은데 여성 보컬 고음에서 조금 날카롭습니다. 이퀄라이저로 조정하면 나아져요.,권시우14,2025-05-01,47,true
r029,5,출장 다닐 때 필수품,비행기 엔진 소리가 확실히 줄어듭니다. 장거리 비행에서 잠자기 훨씬 편해졌어요.,고지호27,2025-06-03,64,true
r030,4,케이스 배터리 표시가 편해요,케이스 앞에 LED로 잔량이 보여서 좋습니다. 충전 타이밍을 놓치지 않아요.,박건우40,2026-07-05,81,true
r031,1,불량품 받았습니다,오른쪽에서 지직거리는 소리가 계속 납니다. 교환 요청했습니다. 품질 관리가 아쉽네요.,임유진53,2025-08-07,98,true
r032,5,통화할 때 내 목소리가 들려요,사이드톤 기능이 있어서 통화 중에 목소리를 크게 안 내도 됩니다. 이거 은근히 중요해요.,안은우66,2025-09-09,115,true
r033,4,무선 충전 지원,맥세이프 패드에 올려두면 충전됩니다. 케이블 안 챙겨도 돼서 편해요.,양하준79,2026-10-11,132,true
r034,5,수업 들을 때 집중이 잘 돼요,도서관에서 ANC 켜두면 주변 소음이 사라집니다. 공부 효율이 확실히 올랐어요.,정도윤92,2025-11-13,6,true
r035,3,이어팁 내구성이 약해요,두 달 쓰니 실리콘 팁이 늘어났습니다. 여분이 들어있어서 다행이지만 아쉬워요.,오하윤15,2025-12-15,23,true
r036,4,자동 착용 감지 정확해요,귀에서 빼면 바로 멈추고 끼면 이어서 재생됩니다. 오작동이 거의 없어요.,류예준28,2026-01-17,40,false
r037,5,러닝 3개월째 문제없음,주 4회 10km씩 뛰면서 썼는데 아직 멀쩡합니다. 땀에도 강한 것 같아요.,배다은41,2025-02-19,57,true
r038,2,케이스 뚜껑이 헐거워요,한 달 정도 쓰니 뚜껑이 살짝 흔들립니다. 닫히긴 하는데 마감이 아쉽습니다.,조지민54,2025-03-21,74,true
r039,4,음질은 중저음 중심,"클래식보다는 팝, 힙합에 어울립니다. 장르 가리는 편이라 참고하세요.",신채원67,2026-04-23,91,true
r040,5,AS 응대가 빨랐어요,한쪽 유닛 문제로 접수했는데 3일 만에 교체품이 왔습니다. 서비스는 만족합니다.,홍민준80,2025-05-25,108,true
r041,4,통화 중 주변 소음 차단 잘 돼요,길에서 통화해도 상대방이 조용한 곳에 있는 줄 알았다고 합니다.,이지우93,2025-06-27,125,true
r042,3,배터리는 광고보다 조금 짧아요,ANC 켜고 쓰면 6시간 정도입니다. 8시간은 ANC 끈 기준인 것 같아요.,장주원16,2026-07-01,142,true
r043,5,게임 모드가 있어요,앱에서 저지연 모드를 켜면 게임할 때 발소리 방향이 정확하게 들립니다. 만족해요.,황수아29,2025-08-03,16,true
r044,4,작아서 휴대가 편해요,여성 귀에도 잘 맞습니다. 크기가 작아서 오래 껴도 부담 없어요.,문현우42,2025-09-05,33,true
r045,5,두 번째 구매입니다,분실해서 같은 제품으로 재구매했습니다. 그만큼 만족한다는 뜻이겠죠.,최서준55,2026-10-07,50,false
r046,1,연결 지연이 심해요,넷플릭스 볼 때 입 모양이랑 소리가 안 맞습니다. 영상 시청용으로는 비추천합니다.,한시윤68,2025-11-09,67,true
r047,4,펌웨어 업데이트로 개선됐어요,처음엔 연결 문제가 있었는데 업데이트 후 안정적입니다. 앱에서 확인해보세요.,송서연81,2025-12-11,84,true
r048,5,가족 모두 만족,아내랑 저 둘 다 쓰고 있습니다. 조작이 직관적이라 설명할 게 없었어요.,손시우94,2026-01-13,101,true
r049,3,음량이 조금 작아요,최대 볼륨이 생각보다 작습니다. 시끄러운 곳에서는 아쉬울 수 있어요.,강지호17,2025-02-15,118,true
r050,4,장시간 착용해도 안 아파요,하루 6시간씩 껴도 귀 통증이 없습니다. 무게 배분이 잘 된 것 같아요.,서건우30,2025-03-17,135,true
r051,5,지하철 소음 완전 차단,ANC 켜면 안내방송도 잘 안 들릴 정도입니다. 역 놓치지 않게 조심하세요.,전유진43,2026-04-19,9,true
r052,2,오른쪽 소리가 작아요,좌우 밸런스가 안 맞습니다. 이퀄라이저로도 해결이 안 되네요.,김은우56,2025-05-21,26,true
r053,4,케이스 충전 속도 빠름,10분 충전하면 1시간 정도 쓸 수 있습니다. 급할 때 유용해요.,윤하준69,2025-06-23,43,true
r054,5,통화 마이크 성능 좋아요,카페처럼 시끄러운 곳에서도 상대방이 잘 들린다고 합니다.,권도윤82,2026-07-25,60,false
r055,5,자전거 탈 때 좋아요,앰비언트 모드로 주변 소리 들으면서 음악 들을 수 있어서 안전합니다.,고하윤95,2025-08-27,77,true
r056,4,블루투스 5.3이라 안정적,이전에 쓰던 5.0 제품보다 확실히 끊김이 적습니다.,박예준18,2025-09-01,94,true
r057,5,수면용으로도 씁니다,옆으로 누워도 크게 배기지 않아요. 백색소음 틀어놓고 잡니다.,임다은31,2026-10-03,111,true
r058,2,터치가 너무 민감해요,머리 넘기다가 자꾸 일시정지됩니다. 앱에서 민감도 조절이 안 되는 게 아쉬워요.,안지민44,2025-11-05,128,true
r059,4,가격 인하 후 구매,할인할 때 샀는데 정가 주고 사도 아깝지 않을 것 같습니다.,양채원57,2025-12-07,2,true
r060,5,등산할 때 잘 씁니다,바람 소리가 크게 안 들어오고 땀에도 문제없었습니다. 3시간 산행 내내 배터리도 충분했어요.,정민준70,2026-01-09,19,true
r061,3,코덱이 SBC/AAC만 지원,안드로이드 유저라면 aptX 지원 제품을 보는 게 나을 수 있습니다.,오지우83,2025-02-11,36,true
r062,4,통화 자동 전환 편해요,전화 오면 노트북에서 폰으로 자동으로 넘어갑니다.,류주원96,2025-03-13,53,true
r063,5,착용감이 정말 편해요,커널형인데 압박감이 거의 없습니다. 귀 아픈 분들께 추천해요.,배수아19,2026-04-15,70,false
r064,1,두 달 만에 케이스 고장,케이스가 충전이 안 됩니다. 이어폰은 멀쩡한데 케이스만 죽었어요.,조현우32,2025-05-17,87,true
r065,4,이어팁 3종 제공,S/M/L 다 들어있어서 귀에 맞게 고를 수 있습니다.,신서준45,2025-06-19,104,true
r066,5,카페 작업용으로 최고,ANC 켜면 카페 소음이 웅웅거리는 배경음 정도로 줄어듭니다.,홍시윤58,2026-07-21,121,true
r067,3,방수 등급이 아쉬워요,IPX4라 격한 운동은 괜찮지만 폭우에는 불안합니다.,이서연71,2025-08-23,138,true
r068,5,운동할 때 안 빠져요,줄넘기 500개 해도 흔들리지 않았습니다. 훅 없이도 고정이 잘 돼요.,장시우84,2025-09-25,12,true
r069,2,앱 없이는 기능 제한,이퀄라이저나 터치 설정은 앱이 있어야 합니다. 앱 완성도가 아쉬워요.,황지호97,2026-10-27,29,true
r070,4,배터리 표시가 정확해요,폰 위젯에 좌우 케이스 잔량이 다 뜹니다.,문건우20,2025-11-01,46,true
r071,5,통화 품질은 기대 이상,무선 이어폰 통화는 원래 별로라고 생각했는데 이건 다릅니다.,최유진33,2025-12-03,63,true
r072,3,고음역 디테일은 평범,보컬은 좋은데 악기 분리도는 조금 아쉽습니다.,한은우46,2026-01-05,80,false
r073,4,휴대성이 좋아요,케이스가 작아서 청바지 주머니에도 들어갑니다.,송하준59,2025-02-07,97,true
r074,5,지하철 출퇴근 필수템,왕복 두 시간 통근에 매일 씁니다. 소음 차단 덕에 피로도가 줄었어요.,손도윤72,2025-03-09,114,true
r075,1,연결하면 잡음이 납니다,특정 폰에서 지직거립니다. 다른 기기에서는 괜찮아서 호환성 문제 같아요.,강하윤85,2026-04-11,131,true
r076,4,저음 위주 튜닝,베이스 좋아하면 만족할 겁니다. 밸런스 잡힌 소리를 원하면 다른 제품을 보세요.,서예준98,2025-05-13,5,true
r077,5,운동 중 땀에 강해요,크로스핏 1시간 해도 문제없었습니다. 운동용으로 추천합니다.,전다은21,2025-06-15,22,true
r078,3,가격이 조금 오른 듯,작년보다 2만원 비싸졌네요. 그래도 성능은 여전히 좋습니다.,김지민34,2026-07-17,39,true
r079,4,바람 소리 차단 괜찮아요,자전거 탈 때 통화해도 상대방이 알아듣습니다.,윤채원47,2025-08-19,56,true
r080,5,ANC와 배터리 균형이 좋아요,ANC 켜고도 6시간은 충분히 갑니다. 하루 쓰기에 부족함이 없어요.,권민준60,2025-09-21,73,true
r081,2,한쪽만 소리가 끊겨요,오른쪽이 가끔 1초씩 끊깁니다. 초기 불량인지 확인 중입니다.,고지우73,2026-10-23,90,false
r082,4,케이스 마감이 단단해요,떨어뜨렸는데 흠집만 나고 멀쩡합니다.,박주원86,2025-11-25,107,true
r083,5,통화하면서 운동해요,러닝 중 통화해도 숨소리가 과하게 안 들어간다고 합니다.,임수아99,2025-12-27,124,true
r084,3,착용감은 사람마다 다를 듯,제 귀에는 살짝 헐거웠습니다. L 사이즈 팁으로 해결했어요.,안현우22,2026-01-01,141,true
r085,4,음악 감상용으로 충분,전문가급은 아니지만 일상 감상에는 넘칩니다.,양서준35,2025-02-03,15,true
r086,5,배터리 걱정이 없어졌어요,케이스까지 30시간 넘게 가니까 여행 갈 때 충전기 안 챙겨도 됩니다.,정시윤48,2025-03-05,32,true
r087,1,환불했습니다,제 귀에는 너무 커서 20분 이상 못 끼겠더라고요. 제품 문제는 아닌 것 같습니다.,오서연61,2026-04-07,49,true
r088,4,영상 통화도 문제없어요,줌 회의에서 하울링 없이 잘 씁니다.,류시우74,2025-05-09,66,true
r089,5,소음 심한 사무실에서 최고,"에어컨 소리, 키보드 소리가 확 줄어듭니다.",배지호87,2025-06-11,83,true
r090,3,기기 전환이 조금 번거로워요,다른 기기로 바꿀 때 케이스 버튼을 3초 눌러야 합니다.,조건우10,2026-07-13,100,false
r091,4,운동용으로 재구매,이전 제품이 땀에 고장 나서 이걸로 바꿨는데 6개월째 멀쩡합니다.,신유진23,2025-08-15,117,true
r092,5,노캔 성능이 가격을 이겼어요,20만원대 제품 매장에서 비교해봤는데 큰 차이 못 느꼈습니다.,홍은우36,2025-09-17,134,true
r093,2,터치 반응이 느려요,탭하고 0.5초 정도 후에 반응합니다. 답답할 때가 있어요.,이하준49,2026-10-19,8,true
r094,4,통화 품질 개선 업데이트,펌웨어 올린 뒤로 통화가 확실히 나아졌습니다.,장도윤62,2025-11-21,25,true
r095,5,매일 8시간 착용합니다,콜센터 업무에 쓰는데 귀 통증 없이 하루를 버팁니다.,황하윤75,2025-12-23,42,true
r096,3,동봉된 케이블이 짧아요,20cm짜리 C타입 케이블이 들어있습니다. 별도 케이블 쓰는 게 나아요.,문예준88,2026-01-25,59,true
r097,4,가벼워서 목에 부담 없어요,넥밴드 쓰다가 넘어왔는데 훨씬 편합니다.,최다은11,2025-02-27,76,true
r098,5,"운동, 출퇴근, 회의 다 커버",하나로 세 가지 상황을 다 해결합니다. 만족도 높아요.,한지민24,2025-03-01,93,true
r099,4,소리 새는 정도 적어요,조용한 사무실에서 중간 볼륨으로 들어도 옆자리에서 안 들린다고 합니다.,송채원37,2026-04-03,110,false
r100,5,부모님도 쉽게 쓰세요,케이스 열면 자동 연결이라 어르신도 어려움 없이 사용하십니다.,손민준50,2025-05-05,127,true
